row,analog,parameter,value_as_stated,quote_ocr,source,article_id,pdf_page,printed,status_t0,note
1,Kupferschiefer,reduced-facies extent / ore fraction,coverage ~6e5 km2; ore deposits ~0.2% of coverage,their extension is in the range of about 0.2 % of the total Kupferschiefer coverage (~6X 10° km?),"Rentzsch, J. 1974. The Kupferschiefer in comparison with the deposits of the Zambian Copperbelt. In Bartholome (ed.), Gisements stratiformes et provinces cupriferes, Liege.",3595,1,1974,before (1974 volume),OCR reads 6X10^5 km2 as '6X 10° km?'; value cited from Wedepohl (1971)
2,Kupferschiefer,ore patch size; oxidised (Rote Faule) area,single ore area some thousand m2 to some km2; South Brandenburg-Dolny Slask >10 000 km2,"In Mansfeld-Sangerhausen, a single area has a size from some thousand m? to some km?. The immense area between South Brandenburg and Dolny Slask encloses more than 10 000 km2.","Rentzsch, J. 1974. The Kupferschiefer in comparison with the deposits of the Zambian Copperbelt. In Bartholome (ed.), Gisements stratiformes et provinces cupriferes, Liege.",3595,9,1974,before (1974 volume),
3,Zambian Copperbelt,reduced-facies belt length,Ore Shale traced ~100 km; grey-green passing laterally to black carbonaceous; 5 to >50 m thick,"The Ore Shale is a remarkably persistent horizon that can be traced from Chililabombwe to Luanshya, a distance of approximately 100 km. It is a grey-green, silty argillite, 5 to more than 50 m thick, passing laterally to a black, carbonaceous argillite.","Binda, P.L. and Mulgrew, J.R. 1974. Stratigraphy of copper occurrences in the Zambian Copperbelt. In Bartholome (ed.), Gisements stratiformes et provinces cupriferes, Liege.",3486,4,1974,before (1974 volume),
4,Zambian Copperbelt (Mufulira),ore patch length; gap over basement high,"orebody C ~5 km strike, 400 m barren pyritic gap over basement paleohill","The lowermost of these orebodies (""C"") extends for a strike length of approximately 5 km, with a 400 m wide barren (pyritic) gap over a Basement paleohill.","Binda, P.L. and Mulgrew, J.R. 1974. Stratigraphy of copper occurrences in the Zambian Copperbelt. In Bartholome (ed.), Gisements stratiformes et provinces cupriferes, Liege.",3486,14,1974,before (1974 volume),
5,White Pine / Keweenaw,belt length,Keweenaw copper province a linear zone ~200 km,"The Lake Superior copper deposits are contained in an area known as the Keweenaw peninsula, a linear zone some 200 km in length along the south shore of Lake Superior","Brown, A.C. 1974. The copper province of northern Michigan, U.S.A.. In Bartholome (ed.), Gisements stratiformes et provinces cupriferes, Liege.",3514,2,1974,before (1974 volume),
6,"Permian copper shales (Oklahoma, Texas)",belt length; ore patch size,six ore bodies over ~200 km; each ~30 km2,six copper-shale ore bodies exposed in the Flowerpot Shale and San Angelo Sandstone along a total distance of some 200 km in Oklahoma and Texas. Individual ore bodies range from 15 to 45 cm thick and cover about 30 km?.,"Johnson, K.S. 1974. Permian copper shales of southwestern United States. In Bartholome (ed.), Gisements stratiformes et provinces cupriferes, Liege.",3593,1,1974,before (1974 volume),km? = km2 (OCR)
7,Permian copper shales (Texas),ore patch length and width,"deposits over 150 km; each 3-10 km long, 1-4 km wide",They extend a total of 150 km along the outcrop of Flowerpot and San Angelo strata in Texas (fig. 3). ... Individual deposits are traceable for 3 to 10 km along the outcrop ... and appear to be 1 to 4 km wide (east-west).,"Johnson, K.S. 1974. Permian copper shales of southwestern United States. In Bartholome (ed.), Gisements stratiformes et provinces cupriferes, Liege.",3593,9,1974,before (1974 volume),
8,"Permian copper shales (Oklahoma, Texas)",ore patch size,"ore bodies ~10 km by 3 km, ~30 km2, elongate parallel to Permian shoreline","Ore deposits are typically about 20 cm thick, are elongated north-south or northeast-southwest (subparallel to the inferred Permian shoreline), have dimensions of about 10 km by 3 km, and cover about 30 km2.","Johnson, K.S. 1974. Permian copper shales of southwestern United States. In Bartholome (ed.), Gisements stratiformes et provinces cupriferes, Liege.",3593,10,1974,before (1974 volume),
9,Canadian stratiform copper,belt length,narrow belt >150 miles (~240 km),"Similar occurrences are present in a narrow belt that extends more than 150 miles to the southwest (G. Harron, personal communication).","Kirkham, R.V. 1974. A synopsis of Canadian stratiform copper deposits in sedimentary sequences. In Bartholome (ed.), Gisements stratiformes et provinces cupriferes, Liege.",3591,4,1974,before (1974 volume),conformable zones in schists; weaker analog
10,"Adelaidean (South Australia, incl. Stuart Shelf)",where reduced host facies sit,"host sediments in sinuous palaeolittoral zones with reducing conditions, close to underlying unconformities",The host sediments formed in sinuous palaeolittoral zones and contain evidence of biological activity and associated reducing conditions. ... Generally the copper mineralization occurs in transgressive marine sediments close to underlying unconformities.,"Rowlands, N.J. 1974. The gitology of some Adelaidean stratiform copper occurrences. In Bartholome (ed.), Gisements stratiformes et provinces cupriferes, Liege.",3597,1,1974,before (1974 volume),local pre-t0 analog; bridges piece 1 and piece 2
