tier,annex_item,status,named_item_on_disk,in_state_evidence,years,path,rows,note
regional frame,"SA Geological Survey 1:250,000 sheets, Andamooka and Torrens",found,yes,ANDAMOOKA 1966 and TORRENS 1964 first editions,1964;1966,06_sources/level1_stratigraphic_frame/sheets,L1-1;L1-3,
regional frame,Explanatory notes for the Andamooka and Torrens areas,found,yes,"Johns 1968, Bulletin 41; RB 61/00102 (1965)",1965;1968,06_sources/level1_stratigraphic_frame/notes,L1-1;L1-3,
regional frame,BMR gravity map series and record reports,found,no,"BMR 1969 regional survey, 342 stations in the window, with accuracy columns; the map series and record report themselves are not in the folder (not needed: the station data carry everything the check uses)",1969,04_prior_predictive_observed/gravity_stations_pre1975_regional.csv,Section 4,"used only in the Section 4 check (double-use rule); status by information in state, not by the named document (Peng, 2026-09-23)"
regional frame,BMR aeromagnetic map series and record reports,found,no,"P234 line data, April 1962, levelled channel; the map series and record report themselves are not in the folder (not needed: the line data carry everything the check uses)",1962,04_prior_predictive_observed/P234-line-magnetic-AWAGS_MAG_2010.nc,Section 4,"used only in the Section 4 check; Young 1964's reading kept out of L1-1; status by information in state, not by the named document (Peng, 2026-09-23)"
regional frame,Logged t0 stratigraphic and water bores,found,yes,"SA Geodata export, holes drilled before t0 within 2 degrees; none in the window reaches basement; LY 2 and Woomera 1",1958;1974,06_sources/level1_stratigraphic_frame/bores,L1-1;L1-2;L3-1,
concept,Haynes's targeting memoranda,found,no,"the memoranda text is in the BHP archive (inventory S22), but what they produced and stated is in state: O'Driscoll's 1974 target-selection plans OD6 iv and OD7 i (the targets Haynes ranked), Johns 1972 (RB 72/00189: mafic source, reduced trap and fractures named together), Maiden's distances from the basin edge, and the EL 190 first quarterly (mesac24890 pp. 7-9), which states the concept in WMC's words",1974,06_sources/level2_basalt_objects/wmc_targeting_memoranda,L2-1;L4-1;L4-2,"rows run on stand-ins or declared assumptions; status by information in state, not by the named document (Peng, 2026-09-23)"
concept,Anomaly interpretations with their assumed density contrasts,found,no,"WMC's model sheets are not in open file; the contrasts they used are in state through Risely 1968 (RB 67/00081: Roopena specific gravities 2.61-3.35, Pandurra 2.44, Moonabie 2.62-2.66) and the era textbooks; Rutter and Esdale 1985 (after t0) confirms 0.3 and is kept as a cross-check only",,06_sources/level5_petrophysical_attachment/wmc_assumed_contrasts,L5-1,"era textbooks and Risely 1968 stand in; status by information in state, not by the named document (Peng, 2026-09-23)"
concept,Anomaly rankings,found,no,"no ranked list is in open file; the ranking as it was acted on is the OD6 iv target-selection plan (September 1974, 20 blue targets); bears on WP4 Task 3 class weights, not on a row",1974,06_sources/level2_basalt_objects/wmc_targeting_memoranda,,"not needed by any row; bears on WP4 Task 3 class weights; status by information in state, not by the named document (Peng, 2026-09-23)"
concept,O'Driscoll's lineament interpretation,found,yes,OD4 iv and OD6 iv (1974); 20 blue targets,1974,06_sources/level2_basalt_objects/odriscoll_interpretation,L2-3;L4-1;L4-3,
object analog,Roopena Basalt outcrop mapping,found,yes,"PORT AUGUSTA 1:250k (1968); Risely 1968, RB 67/00081; Roopena DDH 1-4 and BHP RP 1-2 (1967-69)",1967;1968;1969,06_sources/level2_basalt_objects/roopena_mapping,L2-2;L5-1,
ore analog,"Mendelsohn (1961), Copperbelt",found,no,"the book is print only; its belt, patch and blanket statistics are in state through Binda and Mulgrew 1974, Annels 1974 and Gillson's 1963 review",1963;1974,06_sources/level3_redox_architecture/analog_literature,L3-2;L4-4,"status by information in state, not by the named document (Peng, 2026-09-23)"
ore analog,White Pine literature,found,yes,White and Wright 1954; Brown 1971; Brown 1974 (Liege); Ensign et al. 1968 not found,1954;1971;1974,06_sources/level3_redox_architecture/analog_literature,L3-2;L4-4,
ore analog,Kupferschiefer literature,found,yes,Rentzsch 1974 (Liege); White 1942 (Mansfeld),1942;1974,06_sources/level4_ore_rule/analog_blanket_statistics,L3-2;L4-2;L4-4,
level 5 basis,"Era textbooks: Dobrin (1960), Grant and West (1965), Parasnis (1973 printing)",found,yes,scanned by Peng; 202-row property table,1960;1965;1973,06_sources/level5_petrophysical_attachment/era_textbooks,L5-1;L5-2;L5-3;L5-4,"named in the Level 5 Basis, not among the four Section 6 tiers"
level 5 basis,"Pre-t0 property measurements: Risely (1968), Milton et al. (1966)",found,yes,Roopena specific gravities; Mount Gunson RB 63/75,1966;1968,03_sampler_inputs/level5_era_properties.csv,L5-1;L5-2;L5-3;L5-4,
iron-oxide class,Middleback / Iron Knob reports (WP4 Task 3 iron-oxide class),found,yes,Bull 009 (Jack 1922); RB 33/00090 (Miles 1952); RB 26/00103 (1948); RB 32/00029-30 (1950-51); RB 35/00031; RB 35/00060 (1953),1922;1948;1950;1951;1952;1953,06_sources/iron_oxide_bodies_middleback,L2-4,class planned in WP4 Task 3 before the Section 4 check; admissible because Iron Knob was mined from 1900
retrospective,"Haynes (2006), SEG",finding aid,yes,retrospective account; locates era documents,2006,06_sources/level2_basalt_objects/wmc_targeting_memoranda/finding_aid_not_admissible,,never a parameter source (Section 6)
retrospective,Woodall's later papers,not used,,not in the folder,,,,never a parameter source (Section 6)
after t0,Rutter and Esdale (1985),after t0,yes,WMC geophysicists' account of the 0.3 g/cm3 contrast,1985,03_sampler_inputs/level5_era_properties.csv,L5-1,listed in L5-1 as a cross-check; standing is an open ruling
