row,topic,levels,statement,value,unit,quote_ocr,record,author_source,doc_date,page_ref,status_t0,note
1,host,3;4,"Deposits are shallow, almost horizontal, tabular, low-grade bodies in sandstones, quartzites and the Woocalla Dolomite; main ore horizon in gritty sandstones at the unconformity",,,"The copper deposits comprise shallow, almost horizontal, more or less tabular bodies of generally low grade that occur in sandstones, quartzites and in the Woocalla Dolomite Member. ... The main known ore horizon is confined to red and white gritty sandstones adjacent to the unconformity and, patchily, in dolomite.",2018d037811,"Johns, R.K. 1968. Geology and mineral resources of the Andamooka-Torrens area. Bull. geol. Surv. S. Aust. 41",1968,p. 49,before,
2,ore rule,3;4,Copper along the unconformity between Pernatty Grit (Pandurra) and a younger sandstone next to a collenia reef; the early Marinoan shoreline controlled deposition,,,"At Mount Gunson, copper deposits occur along an unconformable surface between dense Pernatty Grit and a younger sandstone adjacent to what is considered to be a collenia reef. ... the early Marinoan shoreline provided a sedimentary control on copper deposition.",2018d037811,"Johns, R.K. 1968. Geology and mineral resources of the Andamooka-Torrens area. Bull. geol. Surv. S. Aust. 41",1968,p. 52 (Origin of Ore),before,
3,grade-tonnage,4,"WWII open-cut production 32,380 tons at 3.5% Cu; King (1950) expected 150,000 tons of 3% Cu from known exposures",150000,tons @ 3% Cu,"during the period 1941-1943 some 32,380 tons of ore averaging 3.5 per cent Cu were mined ... King (1950) concluded that 150,000 tons of 3 per cent Cu might be expected from the known exposures in this locality.",2018d037811,"Johns, R.K. 1968. Geology and mineral resources of the Andamooka-Torrens area. Bull. geol. Surv. S. Aust. 41",1968,"pp. 48, 52",before,
4,geometry,4,"Ore up to 14 ft (4.3 m) thick; orebodies elongated east-west, at two levels; Gunyah workings over 2,500 ft by 60-300 ft on the lagoon floor",4.3,m (max thickness),"The orebodies ... appear to occupy two distinct levels ... They are elongated in an east-west direction. ... over a thickness of up to 14ft. with grades up to 9 per cent Cu ... The workings extend over an elongate area 2,500ft. x 60ft. to 300ft. on the lagoon floor",2018d037811,"Johns, R.K. 1968. Geology and mineral resources of the Andamooka-Torrens area. Bull. geol. Surv. S. Aust. 41",1968,pp. 50-51,before,
5,host,3;4,Deposits localised within or adjacent to one bed of dolomitic limestone (Woocalla); its limits define the area beyond which ore is extremely unlikely; typically 'red bed' occurrences,,,"The mineral deposits were found to be localized within or adjacent to a distinctive bed of dolomitic limestone. ... its limits fairly well define the area beyond which the chances for ore are extremely unlikely. ... The copper deposits are typically ""Red Bed"" occurrences.",2019d016314,"RB 18/00119 (Assistant Government Geologist; published as Dickinson 1942, Bull. 20 pp. 50-65)",23 May 1941,"pp. 1, 21",before,OCR text layer
6,grade-tonnage,4,"Gustafsen possible tonnage 395,000 tons at 3.14% Cu; reserves about 18,000 tons at 4%+",395000,tons @ 3.14% Cu,"Gustafsen made a possible tonnage estimate of 395,000 tons at 3.14%. ... Ore reserves stand at roughly 18,000 tons",2019d016314,RB 18/00119,23 May 1941,"pp. 26, 28",before,
7,ore rule,3;4,Copper deposited syngenetically with the lithic (disconformity) sandstone; the lithic sandstone is visible or inferred in all areas of known mineralisation,,,Available evidence suggests that the copper mineralization was deposited syngenetically with the lithic sandstone. ... In all areas of known mineralization the lithic sandstone is either visible or inferred.,mesac18387,"Austminex, SML 96/121 annual report and Geology of the Pernatty Lagoon area (Env 00674)",30 Nov 1966,"extract pp. 28, 36",before,
8,redox facies,3,"Marinoan lutites are red-brown with green laminae; copper occurs in green shale phases, not all green shales cupriferous",,,"These lutites are red-brown shales and siltstones with green shale laminae ... in green shale phases of the lutite, although not all green shales are cupriferous",rb6000004,"Thomson, B.P. RB 60/00004 (Source and distribution of heavy metals in Cambrian and Marinoan shelf sediments)",6 Jan 1965,"pp. 3, 5",before,OCR
9,belt length,3,The Pandurra-Whyalla disconformity 90 miles south (Pandurra prospect) is the surface considered to control copper at Mount Gunson-Pernatty Lagoon,145,"km (90 miles, Pandurra prospect to Mount Gunson)",The surface of disconformity with the underlying Pandurra Formation is observable some six miles to the south of Pandurra H.S. This surface is considered to be that which acted as a stratigraphic control in copper mineralisation in the Mt. Gunson-Pernatty Lagoon locality some 90 miles to the north.,rb6500068,"Mason, M.G. RB 65/00068 (Copper prospect, Pandurra, preliminary report)",5 Oct 1967,p. 4,before,text layer; copper at the same level as Mount Gunson
10,ore rule,4,Ore confined to the Pandurra 'window' close to reef-dolomite facies of the Woocalla; elsewhere the Woocalla is black dolomitic shale; ore in depressions of the pre-Woocalla surface,,,"known economic concentrations of copper ... are restricted ... to the eastern and southern boundaries, close to the Woocalla Dolomite, where this horizon is represented by a dolomite or dolomitic limestone of possible stromatolite reef origin. Elsewhere, the Woocalla Formation ... [is] a black dolomitic shale and not reef-like carbonate ... Localisation of copper ores has a further control ... in depressions in the pre-Woocalla erosion surface on the Pandurra Formation.",mesac21897,"Tonkin, D.G. PMR 149/71, Mt Gunson ore controls as a basis for further exploration (Env 01563)",19 Aug 1971,extract pp. 152-153,before,
